lsl_timestamp,ch_01
170276.29173560196,"{""marker"": ""G1_R1_REASONING_PHASE"", ""lsl_time"": 170276.2917491, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""REASONING_PHASE"", ""active_speaker"": null, ""player_id"": null, ""value"": null, ""server_time_utc"": ""2026-07-13T00:10:16.564291"", ""server_time_local"": ""2026-07-12T20:10:16.564291-04:00""}"
170279.35444267807,"{""marker"": ""G1_R1_REASONING_SUBMIT_P5"", ""lsl_time"": 170279.3544562, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""REASONING_PHASE"", ""active_speaker"": null, ""player_id"": 5, ""value"": ""vague_speech"", ""server_time_utc"": ""2026-07-13T00:10:19.626935"", ""server_time_local"": ""2026-07-12T20:10:19.626935-04:00""}"
170281.89418455824,"{""marker"": ""G1_R1_REASONING_SUBMIT_P2"", ""lsl_time"": 170281.8941981, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""REASONING_PHASE"", ""active_speaker"": null, ""player_id"": 2, ""value"": ""hesitation"", ""server_time_utc"": ""2026-07-13T00:10:22.166495"", ""server_time_local"": ""2026-07-12T20:10:22.166495-04:00""}"
170283.9645660421,"{""marker"": ""G1_R1_REASONING_SUBMIT_P4"", ""lsl_time"": 170283.9645796, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""REASONING_PHASE"", ""active_speaker"": null, ""player_id"": 4, ""value"": ""contradiction"", ""server_time_utc"": ""2026-07-13T00:10:24.236842"", ""server_time_local"": ""2026-07-12T20:10:24.236842-04:00""}"
170286.45492402266,"{""marker"": ""G1_R1_REASONING_SUBMIT_P3"", ""lsl_time"": 170286.4549376, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""REASONING_PHASE"", ""active_speaker"": null, ""player_id"": 3, ""value"": ""contradiction"", ""server_time_utc"": ""2026-07-13T00:10:26.727701"", ""server_time_local"": ""2026-07-12T20:10:26.727701-04:00""}"
170292.77548747335,"{""marker"": ""G1_R1_REASONING_SUBMIT_P1"", ""lsl_time"": 170292.7755011, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""REASONING_PHASE"", ""active_speaker"": null, ""player_id"": 1, ""value"": ""vague_speech"", ""server_time_utc"": ""2026-07-13T00:10:33.047556"", ""server_time_local"": ""2026-07-12T20:10:33.047556-04:00""}"
170296.9477625408,"{""marker"": ""G1_R1_ROUND_END"", ""lsl_time"": 170296.9477762, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""ROUND_END"", ""active_speaker"": null, ""player_id"": null, ""value"": null, ""server_time_utc"": ""2026-07-13T00:10:37.220314"", ""server_time_local"": ""2026-07-12T20:10:37.220314-04:00""}"
170318.84908487,"{""marker"": ""EEG_LSL_PREFLIGHT_SNAPSHOT"", ""lsl_time"": 170318.8490987, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 1, ""phase"": ""ROUND_END"", ""active_speaker"": null, ""player_id"": null, ""value"": ""{\""total_eeg_candidates\"": 0, \""insight_like_streams\"": 0, \""valid_streams\"": 0}"", ""server_time_utc"": ""2026-07-13T00:10:59.121271"", ""server_time_local"": ""2026-07-12T20:10:59.121271-04:00""}"
170342.83512568288,"{""marker"": ""G1_R2_WORD_PHASE"", ""lsl_time"": 170342.8351397, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 2, ""phase"": ""WORD_PHASE"", ""active_speaker"": null, ""player_id"": null, ""value"": null, ""server_time_utc"": ""2026-07-13T00:11:23.107766"", ""server_time_local"": ""2026-07-12T20:11:23.107766-04:00""}"
170354.2401560939,"{""marker"": ""P3_DISCONNECTED"", ""lsl_time"": 170354.2401702, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 2, ""phase"": ""WORD_PHASE"", ""active_speaker"": null, ""player_id"": 3, ""value"": ""last_seen_age_sec=5.2"", ""server_time_utc"": ""2026-07-13T00:11:34.513165"", ""server_time_local"": ""2026-07-12T20:11:34.513165-04:00""}"
170354.2410894939,"{""marker"": ""P3_DISCONNECTED"", ""lsl_time"": 170354.2411036, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 2, ""phase"": ""WORD_PHASE"", ""active_speaker"": null, ""player_id"": 3, ""value"": ""last_seen_age_sec=5.2"", ""server_time_utc"": ""2026-07-13T00:11:34.514170"", ""server_time_local"": ""2026-07-12T20:11:34.514170-04:00""}"
170354.26304799374,"{""marker"": ""P4_DISCONNECTED"", ""lsl_time"": 170354.2630621, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 2, ""phase"": ""WORD_PHASE"", ""active_speaker"": null, ""player_id"": 4, ""value"": ""last_seen_age_sec=5.2"", ""server_time_utc"": ""2026-07-13T00:11:34.535772"", ""server_time_local"": ""2026-07-12T20:11:34.535772-04:00""}"
170354.26980239365,"{""marker"": ""P5_DISCONNECTED"", ""lsl_time"": 170354.2698165, ""session_id"": ""S001"", ""game_number"": 1, ""round_number"": 2, ""phase"": ""WORD_PHASE"", ""active_speaker"": null, ""player_id"": 5, ""value"": ""last_seen_age_sec=6.2"", ""server_time_utc"": ""2026-07-13T00:11:34.543215"", ""server_time_local"": ""2026-07-12T20:11:34.543215-04:00""}"
